order_id,customer_id,product_id,quantity,unit_price,total_price,order_date,shipping_address,payment_method,status
34,826,739,78,269.41,2342.33,2021-02-28,1 Schurz Crossing,Apple Pay,shipped
35,790,908,10,63.7,6369.44,2020-08-05,6866 Onsgard Parkway,credit card,delivered
36,407,282,85,877.81,9202.56,2020-03-09,8903 Vahlen Avenue,Apple Pay,pending
37,448,26,20,382.5,7434.7,2020-04-12,63485 Canary Road,PayPal,delivered
38,934,335,43,908.15,2416.82,2021-05-15,2 Charing Cross Court,Apple Pay,processing
39,165,122,60,882.27,7303.27,2022-12-22,7 Magdeline Parkway,Apple Pay,delivered
40,163,184,30,368.9,7241.64,2021-06-24,99 Cody Court,credit card,pending
41,848,245,80,938.59,2605.78,2021-05-17,8 Jackson Circle,Apple Pay,shipped
42,371,111,43,286.61,4419.81,2021-12-21,9743 Gateway Center,PayPal,shipped
43,93,13,52,102.73,9725.77,2022-10-30,6 Elmside Plaza,PayPal,pending
44,148,513,36,868.23,4650.61,2020-08-17,46688 Prairie Rose Parkway,PayPal,delivered
45,7,197,81,446.34,3375.83,2020-05-27,596 Brown Street,PayPal,pending
46,103,115,12,443.73,2602.52,2021-01-14,94249 Pepper Wood Park,PayPal,pending
47,621,740,66,906.28,9171.81,2020-08-03,105 Hanson Center,PayPal,pending
48,400,852,82,363.9,4835.75,2022-03-19,1 Stang Alley,PayPal,delivered
49,944,110,56,897.9,4123.85,2022-07-21,45251 Carey Avenue,Apple Pay,processing
50,765,638,81,704.75,7084.3,2020-03-05,9672 Hauk Place,credit card,processing
51,506,898,54,327.63,2179.48,2021-05-02,1 Brown Street,Apple Pay,delivered
52,48,929,10,719.47,9017.09,2020-01-04,46607 Lake View Park,Apple Pay,shipped
53,214,131,83,448.38,3444.78,2022-03-18,2360 Nova Circle,Apple Pay,shipped
54,184,757,57,641.36,7203.97,2020-05-13,85656 Donald Drive,Apple Pay,processing
55,152,839,49,549.71,3859.54,2021-11-04,34 Reindahl Hill,credit card,delivered
56,604,321,90,267.55,94.18,2022-12-18,83 Westport Pass,credit card,pending
57,958,984,55,23.84,1393.91,2022-05-02,4 Magdeline Drive,Apple Pay,shipped
58,651,384,71,827.94,3516.59,2022-06-22,7 Northland Plaza,PayPal,delivered
59,49,435,52,655.31,2028.93,2020-11-13,4 Kennedy Avenue,Apple Pay,shipped
60,925,40,40,803.98,4603.8,2021-12-21,06 Elgar Circle,Apple Pay,delivered
61,543,562,75,810.22,7783.87,2022-04-12,32013 Homewood Pass,Apple Pay,shipped
62,138,150,76,428.62,7418.59,2022-09-15,48 Butternut Drive,Apple Pay,processing
63,625,711,23,719.5,9983.4,2021-04-14,5279 Pepper Wood Crossing,credit card,shipped
64,445,961,7,214.02,2819.22,2022-10-12,48 Holy Cross Avenue,credit card,processing
65,921,210,61,979.1,5789.35,2020-08-08,86 Stone Corner Junction,Apple Pay,delivered
66,286,124,57,817.69,2524.04,2020-10-27,00 Transport Road,Apple Pay,pending
67,798,907,2,968.95,3627.91,2021-12-01,138 Homewood Court,credit card,processing
68,221,979,6,510.49,9858.79,2022-10-14,42 Crest Line Street,Apple Pay,processing
69,920,248,82,397.81,3618.99,2022-09-27,37477 Kenwood Junction,Apple Pay,pending
70,819,652,73,693.49,141.95,2021-04-20,25 Muir Center,Apple Pay,pending
71,545,977,36,632.33,7657.48,2021-11-17,5 Michigan Crossing,PayPal,processing
72,294,185,25,565.79,984.24,2022-02-06,19 Ryan Place,Apple Pay,processing
73,483,996,92,15.89,5955.94,2020-07-11,74836 Calypso Street,credit card,pending
74,377,119,69,947.43,5611.85,2021-02-12,28545 Garrison Trail,PayPal,delivered
75,338,680,8,80.8,6776.03,2021-10-27,25639 Roth Trail,credit card,shipped
76,653,68,48,834.39,4829.73,2020-06-22,5 Browning Place,credit card,delivered
77,231,54,30,794.51,9448.66,2021-01-17,6 Russell Drive,PayPal,pending
78,597,447,64,409.95,5729.05,2021-12-22,8175 Harbort Way,PayPal,shipped
79,479,371,99,155.0,9189.43,2022-01-21,2693 Scofield Parkway,PayPal,delivered
80,655,940,100,278.26,719.75,2022-01-24,2 Thierer Trail,PayPal,processing
81,147,777,69,656.4,5402.65,2020-03-17,906 Farragut Road,PayPal,processing
82,635,612,40,134.84,6988.28,2022-01-15,54 Troy Circle,credit card,pending
83,5,391,26,5.41,9203.19,2021-12-28,2480 Crownhardt Avenue,PayPal,shipped
84,784,747,92,617.49,3510.65,2022-10-31,084 Muir Alley,Apple Pay,shipped
85,504,574,36,149.27,2301.44,2020-03-11,7112 Esker Trail,credit card,pending
86,774,928,80,52.56,8014.91,2022-01-20,4459 Norway Maple Way,PayPal,shipped
87,716,666,24,16.35,4219.12,2021-04-17,15 5th Terrace,PayPal,processing
88,775,388,62,530.48,1501.79,2020-09-11,6 Eggendart Trail,Apple Pay,delivered
89,38,319,13,17.02,8900.98,2022-08-06,84003 American Circle,PayPal,pending
90,626,782,26,674.32,4087.43,2020-02-28,99 Barby Junction,credit card,shipped
91,84,309,67,409.68,2930.45,2020-04-07,467 Golf Course Park,PayPal,processing
92,440,742,13,686.66,4437.51,2022-01-22,96 Northwestern Circle,credit card,processing
93,894,750,96,384.72,2072.19,2021-06-07,1 Cottonwood Pass,credit card,processing
94,978,294,10,714.79,5135.68,2021-01-09,8572 Fair Oaks Drive,credit card,delivered
95,595,625,70,815.9,4948.79,2021-05-13,13342 Corben Park,credit card,pending
96,361,413,43,777.41,3428.38,2022-03-26,5 Carberry Parkway,PayPal,processing
97,334,390,51,785.41,7746.11,2020-06-26,92903 Northridge Hill,credit card,pending
98,356,403,31,159.57,4277.19,2020-06-08,5826 Butternut Point,PayPal,pending
99,128,67,63,218.16,5017.84,2022-10-20,43252 Iowa Pass,Apple Pay,delivered
100,945,61,77,937.13,9300.22,2020-03-12,2 Twin Pines Circle,credit card,shipped
101,810,272,58,488.02,5734.42,2022-11-15,8342 Lillian Street,Apple Pay,processing
102,187,552,13,866.63,4586.73,2022-07-07,54249 Michigan Avenue,Apple Pay,processing
103,515,830,78,339.21,7354.37,2022-05-28,457 Moose Way,Apple Pay,shipped
104,494,47,97,638.44,4247.2,2021-10-15,2 Harper Drive,PayPal,processing
105,439,479,69,52.69,5690.64,2020-08-16,58272 John Wall Plaza,credit card,shipped
106,841,113,51,883.21,7794.42,2020-03-03,4164 Di Loreto Avenue,Apple Pay,processing
107,911,617,73,147.85,7001.02,2022-10-21,347 Manley Pass,credit card,processing
108,836,826,37,382.77,1119.51,2022-04-10,37609 Russell Lane,PayPal,shipped
109,852,103,49,496.38,1906.41,2022-03-20,1080 Red Cloud Pass,PayPal,shipped
110,419,312,28,271.04,4794.63,2022-12-26,852 Kennedy Way,credit card,pending
111,998,283,98,200.43,8750.39,2021-07-12,5 Novick Crossing,Apple Pay,processing
112,332,213,62,838.02,9107.69,2020-09-11,7 Doe Crossing Point,credit card,processing
113,75,159,48,899.19,3748.59,2022-03-05,5 Green Ridge Hill,Apple Pay,delivered
114,50,85,71,256.2,5143.51,2020-02-09,0362 Continental Park,Apple Pay,delivered
115,169,877,74,559.31,3301.63,2020-04-27,95 Tennessee Circle,credit card,shipped
116,904,695,2,834.25,6267.7,2022-08-04,2201 Northwestern Junction,PayPal,pending
117,512,586,9,309.43,3678.07,2022-10-02,5986 Express Alley,credit card,shipped
118,647,48,55,458.81,7563.62,2021-12-12,44454 Jackson Avenue,credit card,pending
119,3,657,96,94.83,7454.33,2022-09-27,426 Harper Lane,credit card,pending
120,743,446,56,341.1,2931.24,2020-08-31,045 Maple Plaza,Apple Pay,processing
121,760,779,21,789.79,6938.47,2020-02-25,11509 Magdeline Crossing,Apple Pay,pending
122,553,515,99,825.35,8805.02,2021-07-23,122 Loeprich Park,credit card,delivered
123,674,175,84,64.88,7064.79,2021-03-24,02910 Rockefeller Street,PayPal,shipped
124,24,551,16,103.9,4293.83,2021-05-30,8 Main Drive,Apple Pay,processing
125,375,832,41,37.13,7216.1,2020-05-26,740 Kennedy Circle,Apple Pay,shipped
126,447,627,91,763.47,1152.22,2020-06-25,483 Spenser Way,Apple Pay,shipped
127,395,21,76,867.12,8419.06,2020-01-10,21313 Kingsford Road,PayPal,shipped
128,57,408,52,790.94,810.75,2020-03-16,1 Haas Parkway,credit card,pending
129,373,382,20,378.24,9146.03,2022-04-13,310 Schlimgen Terrace,credit card,processing
130,707,264,43,844.24,2465.47,2021-12-25,8564 Reindahl Place,PayPal,shipped
131,497,543,56,42.52,6747.81,2021-02-21,34700 Eliot Place,credit card,shipped
132,618,345,62,590.76,6198.13,2021-03-20,0 Valley Edge Parkway,PayPal,shipped
133,446,292,6,28.79,3865.53,2021-07-26,9529 Namekagon Lane,PayPal,pending
134,612,2,60,864.05,7144.74,2021-03-21,77 Bobwhite Avenue,PayPal,shipped
135,533,429,11,654.79,8086.84,2020-02-14,9730 Vera Alley,Apple Pay,processing
136,121,721,99,971.39,8856.57,2022-06-27,1 Hovde Park,Apple Pay,pending
137,542,974,29,908.94,1398.17,2022-06-11,309 Buena Vista Street,Apple Pay,shipped
138,662,8,91,700.73,6369.39,2020-03-20,87 Kinsman Place,credit card,shipped
139,171,616,44,131.14,4128.2,2021-11-17,5864 Carey Alley,Apple Pay,delivered
140,143,926,39,947.45,9926.54,2022-02-04,89643 Stoughton Circle,PayPal,processing
141,989,862,55,761.69,1974.41,2021-09-06,39 Menomonie Way,PayPal,delivered
142,436,148,30,898.91,7690.93,2021-06-11,31720 Amoth Parkway,credit card,pending
143,430,681,39,507.08,5850.52,2022-06-21,9293 Birchwood Place,PayPal,processing
144,387,199,76,765.69,833.51,2021-09-02,5 Northport Pass,PayPal,delivered
145,613,794,68,63.35,3632.87,2020-09-07,11 Dexter Circle,PayPal,pending
146,8,65,93,928.27,1403.16,2022-04-26,900 Kropf Way,PayPal,delivered
147,563,970,98,76.55,6756.03,2022-06-02,5 Sommers Junction,PayPal,shipped
148,891,207,99,786.46,8104.79,2021-08-20,894 Daystar Plaza,Apple Pay,delivered
149,740,5,73,648.18,4209.76,2020-02-01,75368 Veith Park,Apple Pay,shipped
150,418,305,17,419.52,54.79,2021-07-22,829 Sachs Trail,Apple Pay,shipped
151,502,746,79,147.05,8029.51,2022-06-11,4035 Express Court,Apple Pay,processing
152,337,816,3,231.5,9961.86,2021-10-09,61086 Ilene Court,Apple Pay,shipped
153,838,123,16,273.89,6517.21,2020-10-09,661 Rigney Drive,credit card,shipped
154,486,795,22,586.51,6401.27,2020-11-17,770 Fair Oaks Drive,PayPal,shipped
155,735,755,65,946.91,1943.34,2021-05-26,2902 Arizona Circle,PayPal,processing
156,350,512,83,20.06,5112.86,2022-05-14,71039 Grim Plaza,Apple Pay,pending
157,161,338,61,739.7,2546.04,2022-11-23,1 Cherokee Plaza,PayPal,shipped
158,746,128,92,244.24,1734.85,2022-07-13,13 Clemons Street,credit card,pending
159,299,893,24,580.72,6030.64,2020-10-12,228 Buena Vista Way,credit card,shipped
160,363,386,64,663.2,1047.55,2021-10-30,2568 Northfield Avenue,PayPal,pending
161,88,674,4,924.77,6934.93,2022-11-30,091 Superior Place,PayPal,processing
162,566,120,84,899.09,9909.73,2022-11-03,0 Troy Pass,PayPal,pending
163,333,457,86,211.05,4269.67,2020-05-28,403 Bluejay Hill,credit card,shipped
164,111,79,89,643.73,9907.76,2021-04-17,0 Shoshone Road,PayPal,pending
165,902,581,73,445.09,7959.7,2021-02-02,979 Pepper Wood Way,PayPal,processing
166,806,914,40,119.26,4502.75,2020-04-05,34 Anthes Pass,credit card,pending
167,72,395,12,429.7,3241.29,2021-04-26,04935 Vahlen Trail,PayPal,pending
168,669,945,42,174.8,9167.31,2020-12-16,6902 Donald Place,Apple Pay,delivered
169,960,911,4,471.44,3785.13,2020-05-18,009 Loomis Trail,credit card,shipped
170,212,634,70,176.35,2148.84,2021-03-10,6156 Golden Leaf Point,PayPal,processing
171,329,849,74,197.57,8455.6,2022-03-31,7 Nancy Way,Apple Pay,processing
172,236,873,83,371.66,738.55,2021-04-04,62 Fisk Street,PayPal,delivered
173,687,168,91,837.6,2344.31,2022-08-15,9248 Eastwood Point,credit card,processing
174,751,995,34,745.07,9355.04,2021-12-17,7 Heath Place,credit card,delivered
175,328,874,19,903.38,1946.24,2022-06-16,48708 Rowland Plaza,Apple Pay,pending
176,115,399,30,316.26,2495.54,2020-03-06,9 Mitchell Parkway,PayPal,delivered
177,665,224,1,21.18,1688.8,2022-11-25,27656 Stone Corner Pass,Apple Pay,delivered
178,20,565,2,697.47,1092.08,2021-12-30,6 Saint Paul Terrace,Apple Pay,delivered
179,172,412,45,316.3,9039.22,2020-01-13,185 Shoshone Drive,PayPal,pending
180,814,367,65,139.43,3193.97,2020-05-28,0394 Colorado Crossing,PayPal,shipped
181,811,583,31,733.48,3092.12,2022-11-24,27108 Di Loreto Hill,credit card,pending
182,113,935,82,527.14,7271.37,2020-04-08,08 Eggendart Plaza,Apple Pay,shipped
183,467,25,39,188.08,6790.32,2020-07-02,79 Warner Pass,Apple Pay,delivered
184,100,761,38,869.6,1314.49,2021-06-13,197 Mcbride Drive,credit card,shipped
185,954,142,64,226.78,4625.71,2022-11-21,142 Lakewood Gardens Point,PayPal,shipped
186,968,394,2,781.95,6561.5,2020-10-23,46542 Leroy Parkway,Apple Pay,delivered
187,215,27,28,439.47,3061.58,2021-09-15,78238 Hanover Alley,Apple Pay,delivered
188,273,311,70,434.91,8693.47,2022-05-20,5 Stang Circle,credit card,pending
189,282,587,75,52.63,3979.4,2021-04-17,56898 Roxbury Place,PayPal,processing
190,285,613,4,858.34,1690.46,2021-01-01,76112 Walton Avenue,credit card,processing
191,603,306,17,84.19,2960.07,2020-06-24,7531 Melrose Alley,Apple Pay,processing
192,382,727,52,188.72,4939.11,2020-04-24,78467 Fordem Court,credit card,delivered
193,677,17,33,648.58,6545.91,2021-02-25,56981 Dawn Place,credit card,shipped
194,950,342,99,612.65,3316.03,2021-05-27,29 Ramsey Avenue,PayPal,delivered
195,967,147,77,671.04,5893.96,2021-07-30,989 John Wall Court,Apple Pay,delivered
196,727,373,67,367.11,3596.44,2022-01-23,0 Sundown Point,credit card,delivered
197,168,536,46,746.49,6824.0,2021-04-16,6562 Knutson Pass,Apple Pay,shipped
198,982,393,2,386.85,1169.89,2022-08-18,398 Iowa Circle,Apple Pay,processing
199,598,302,68,577.65,8656.14,2020-10-08,1940 Sugar Alley,credit card,delivered
200,228,7,79,655.24,187.76,2022-09-12,4 Birchwood Parkway,credit card,pending
201,532,799,49,75.46,4589.15,2021-07-15,44085 Burning Wood Street,credit card,pending
202,866,459,43,176.3,3325.83,2020-10-09,6562 Moose Street,PayPal,processing
203,990,975,13,458.5,9090.84,2022-12-24,89 La Follette Park,PayPal,shipped
204,547,566,24,10.84,5027.33,2020-07-09,6879 Spohn Drive,Apple Pay,shipped
205,725,90,3,399.2,5656.75,2020-10-27,0 Johnson Circle,PayPal,processing
206,803,278,85,314.24,1754.49,2022-07-06,7 Eagan Center,credit card,shipped
207,478,438,37,869.28,9452.82,2022-02-21,0 Schmedeman Alley,credit card,delivered
208,544,921,6,771.79,439.78,2021-11-16,343 Shoshone Center,credit card,delivered
209,996,644,56,489.88,9521.95,2021-05-19,4 Muir Center,Apple Pay,shipped
210,592,494,60,568.37,4586.71,2022-01-31,7 Dwight Place,credit card,shipped
211,873,791,82,411.34,8467.15,2021-01-20,4511 Messerschmidt Parkway,Apple Pay,delivered
212,195,835,42,509.0,5933.14,2021-01-25,23113 Johnson Pass,credit card,processing
213,239,454,31,160.87,7352.86,2021-05-03,4 Corben Alley,PayPal,shipped
214,241,474,45,288.13,827.21,2020-11-16,5 Erie Hill,Apple Pay,delivered
215,823,383,16,336.44,9198.34,2021-04-26,3220 Becker Court,Apple Pay,pending
216,9,510,71,697.74,3857.9,2020-10-19,91449 Gulseth Crossing,PayPal,shipped
217,85,432,69,173.95,5074.84,2022-04-20,7000 Starling Lane,credit card,processing
218,485,771,81,509.59,2157.01,2022-09-06,27249 Farmco Trail,PayPal,shipped
219,951,733,73,0.4,7600.99,2020-08-29,5 Harper Avenue,credit card,processing
220,26,59,44,584.07,4984.74,2020-07-27,989 Cody Place,PayPal,pending
221,21,563,25,448.07,1426.14,2021-08-06,0416 Corben Pass,credit card,delivered
222,110,999,30,459.6,6995.91,2021-09-12,958 Annamark Street,Apple Pay,processing
223,27,45,44,897.33,7189.34,2021-10-21,7 Northridge Street,credit card,pending
224,421,710,45,243.5,3411.41,2021-11-18,683 Nancy Lane,credit card,delivered
225,344,34,19,223.29,9753.21,2021-01-16,67288 Merchant Alley,Apple Pay,shipped
226,67,327,46,284.71,3105.08,2020-03-27,29 Summer Ridge Avenue,Apple Pay,shipped
227,466,989,95,282.44,8891.72,2020-02-28,1 Boyd Way,Apple Pay,pending
228,357,962,94,353.7,3926.81,2022-11-23,43 Brentwood Court,Apple Pay,shipped
229,929,488,36,915.96,6945.01,2022-12-22,5727 Carioca Crossing,PayPal,shipped
230,556,295,94,558.95,7040.69,2020-08-23,50705 Kedzie Place,Apple Pay,processing
231,987,524,28,120.4,1967.73,2020-08-12,782 Thackeray Terrace,PayPal,shipped
232,926,256,34,153.57,9009.93,2022-09-13,2748 Veith Center,credit card,processing
233,302,845,19,465.35,6703.61,2021-11-27,55009 Anderson Lane,credit card,processing
234,620,275,38,203.07,4213.6,2021-05-07,2 Elgar Alley,PayPal,pending
235,490,263,32,951.08,805.4,2022-04-09,3 Golf View Park,credit card,shipped
236,268,753,69,703.68,1176.7,2020-05-04,258 Beilfuss Road,credit card,shipped
237,32,177,70,570.18,9818.74,2022-12-09,09740 Packers Junction,credit card,delivered
238,150,201,32,255.05,1253.92,2020-05-28,57 Golf Alley,credit card,pending
239,521,443,80,217.26,8467.78,2022-06-03,6 Green Point,credit card,delivered
240,135,939,6,334.67,8933.75,2021-02-20,81 Everett Lane,PayPal,pending
241,41,564,51,295.13,9272.87,2021-11-23,74639 Sachtjen Trail,PayPal,pending
242,89,237,7,834.27,1003.53,2020-10-01,7369 Petterle Way,credit card,shipped
243,59,871,93,517.51,1487.35,2022-12-01,8435 Schlimgen Crossing,PayPal,delivered
244,202,889,55,920.44,7964.59,2020-01-29,7 Continental Center,credit card,pending
245,248,508,33,9.47,4112.18,2020-09-19,1 Mendota Plaza,PayPal,pending
246,97,540,93,496.57,4369.52,2022-04-16,4893 Hoepker Street,credit card,shipped
247,879,360,91,205.23,3056.57,2020-10-28,76 Bashford Street,credit card,delivered
248,552,909,14,90.05,589.57,2022-05-03,2 Oak Center,credit card,processing
249,347,705,93,23.18,9890.45,2021-06-28,824 Larry Place,Apple Pay,pending
250,37,183,82,168.59,3569.28,2020-09-22,30231 Carberry Parkway,PayPal,delivered
251,277,818,71,805.61,3882.24,2020-12-20,06440 Clove Road,PayPal,shipped
252,518,480,78,536.39,5425.54,2020-03-13,76 Stang Center,Apple Pay,delivered
253,667,63,39,714.52,8861.56,2022-11-01,5 Amoth Place,PayPal,pending
254,203,678,9,187.04,2242.57,2021-06-14,094 Dottie Alley,Apple Pay,shipped
255,242,900,57,227.43,7511.27,2022-02-19,8 Express Way,PayPal,delivered
256,351,822,79,793.71,6593.26,2021-10-16,5329 Waywood Drive,credit card,shipped
257,491,287,48,326.82,1069.12,2020-07-31,8550 Longview Circle,credit card,processing
258,262,694,72,436.97,4252.92,2022-07-08,5064 Eagan Place,Apple Pay,shipped
259,355,240,81,936.51,8078.36,2020-05-21,54 Dakota Center,credit card,delivered
260,122,452,19,827.3,1030.9,2022-07-28,6 Cottonwood Street,credit card,pending
261,699,116,22,533.01,5373.27,2021-11-28,373 Dorton Center,credit card,shipped
262,293,762,85,734.75,583.92,2021-11-29,2 Aberg Plaza,PayPal,shipped
263,238,676,2,893.48,9811.28,2021-09-26,197 Oak Terrace,Apple Pay,shipped
264,983,301,82,994.87,6844.82,2021-04-19,68619 Utah Point,Apple Pay,processing
265,325,483,22,506.8,6797.46,2021-07-23,50617 Darwin Park,credit card,processing
266,948,786,52,508.54,2992.63,2020-01-11,2 Doe Crossing Circle,PayPal,delivered
267,233,923,25,643.64,2046.39,2022-04-15,75 Annamark Way,Apple Pay,processing
268,913,800,43,351.52,1321.27,2022-10-22,771 Anhalt Park,Apple Pay,pending
269,304,855,60,643.98,6875.96,2020-10-12,681 Sherman Terrace,credit card,delivered
270,288,153,30,220.05,7266.61,2022-06-24,57645 Milwaukee Way,credit card,pending
271,390,969,83,417.91,661.53,2020-12-05,653 Hoard Park,credit card,processing
272,519,55,68,920.53,6018.51,2021-09-21,6330 Monica Lane,Apple Pay,delivered
273,728,348,82,247.86,8580.06,2022-07-31,99234 Shoshone Road,credit card,shipped
274,889,943,84,653.52,651.54,2021-07-21,5295 Golf Avenue,Apple Pay,delivered
275,680,374,97,867.74,8472.17,2022-09-28,24608 Green Alley,Apple Pay,processing
276,896,277,8,609.52,7195.56,2021-02-03,898 Longview Crossing,credit card,shipped
277,833,270,7,409.92,1022.96,2021-01-17,177 Canary Drive,Apple Pay,shipped
278,205,43,54,698.24,5559.22,2022-12-18,87 Mayer Lane,PayPal,processing
279,174,366,72,602.96,5376.28,2022-02-25,2 Nobel Circle,credit card,pending
280,470,526,59,88.71,9898.84,2020-06-29,4184 Goodland Alley,PayPal,delivered
281,936,880,46,632.49,562.38,2020-08-19,382 Springs Point,credit card,shipped
282,847,138,94,652.12,1159.06,2022-04-18,597 Lunder Pass,credit card,processing
283,591,964,62,44.49,3718.75,2021-08-19,9 Swallow Street,Apple Pay,pending
284,582,189,48,917.49,5825.74,2020-10-18,4 Chive Hill,PayPal,delivered
285,785,132,12,676.67,86.48,2020-12-13,1 Ohio Plaza,credit card,shipped
286,720,916,72,487.78,4821.96,2020-08-29,79 Westport Plaza,Apple Pay,shipped
287,183,143,54,313.48,9832.02,2021-01-21,93 La Follette Pass,credit card,pending
288,126,497,12,283.57,613.48,2020-03-14,781 Bultman Alley,PayPal,processing
289,797,135,60,107.86,9449.44,2020-02-20,8 Westend Place,Apple Pay,delivered
290,52,649,96,562.23,720.85,2020-06-08,2980 Hanover Street,PayPal,processing
291,326,495,38,545.1,4615.03,2021-06-06,3395 Waywood Terrace,Apple Pay,shipped
292,53,730,95,871.92,8851.8,2021-11-14,27 Prairie Rose Lane,PayPal,shipped
293,571,659,49,344.24,7028.66,2022-05-22,44670 Susan Hill,credit card,processing
294,590,415,24,107.94,1096.04,2022-09-09,3 Briar Crest Circle,Apple Pay,delivered
295,608,860,31,210.44,3117.4,2021-07-25,923 International Pass,PayPal,shipped
296,232,223,62,665.9,7499.37,2021-07-10,085 Rigney Lane,PayPal,processing
297,927,868,59,415.44,1477.29,2022-10-27,3 Garrison Parkway,Apple Pay,delivered
298,155,506,27,687.21,1714.8,2020-05-16,19 Longview Drive,credit card,shipped
299,759,941,82,809.51,9819.98,2022-05-06,85858 Stephen Court,Apple Pay,shipped
300,459,605,22,433.9,265.21,2022-06-14,45711 Continental Pass,Apple Pay,pending
301,712,380,98,948.28,6331.54,2021-02-08,99 Troy Court,Apple Pay,processing
302,627,330,11,997.08,5738.32,2020-03-19,55 5th Road,credit card,delivered
303,108,851,6,716.43,8034.52,2020-02-06,61 Toban Park,Apple Pay,processing
304,193,577,45,587.34,5900.4,2020-09-01,1913 Continental Way,credit card,delivered
305,724,409,33,970.24,8919.7,2022-02-13,31 Carioca Lane,PayPal,pending
306,327,959,62,992.52,5287.28,2020-10-20,84 Hallows Avenue,PayPal,shipped
307,916,985,74,253.25,5253.99,2022-05-10,202 Darwin Parkway,credit card,delivered
308,966,624,65,693.2,5878.21,2022-07-28,77088 Prairieview Alley,PayPal,processing
309,463,820,44,121.89,860.74,2022-04-12,58 Lakeland Trail,PayPal,delivered
310,910,271,56,20.37,8644.52,2022-10-18,4 Meadow Vale Lane,PayPal,pending
311,247,683,85,511.53,7622.67,2020-03-09,928 Continental Way,credit card,processing
312,314,191,38,51.05,334.17,2022-10-18,4 Pepper Wood Hill,Apple Pay,shipped
313,442,615,13,573.09,4364.97,2022-08-28,9 Monterey Avenue,PayPal,pending
314,534,149,32,216.14,7377.01,2022-08-07,4 Hoffman Alley,credit card,delivered
315,860,161,10,41.34,4476.01,2022-06-08,672 Farragut Junction,Apple Pay,processing
316,697,285,99,502.85,4452.03,2021-05-23,30319 Crest Line Street,credit card,processing
317,805,169,39,481.09,617.09,2020-07-29,72 Northland Alley,credit card,delivered
318,850,165,6,682.81,1255.37,2020-06-02,2812 Sachs Park,Apple Pay,delivered
319,689,661,93,252.23,7764.38,2022-02-22,59 Texas Hill,credit card,shipped
320,376,286,62,770.34,7677.59,2022-02-15,179 Bunting Parkway,PayPal,shipped
321,634,86,60,179.59,9526.01,2020-04-17,503 Pankratz Alley,PayPal,processing
322,480,64,83,440.31,7434.3,2022-09-15,466 Coolidge Point,PayPal,processing
