product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
11,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,In hac habitasse platea dictumst.,503.75,9.57,home decor,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,840,Aquamarine,large,9.6,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,2019-05-08,1.4,288,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien,3.1,425,standard,26.33
12,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,417.94,20.6,clothing,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,397,Mauv,medium,6.5,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,2017-08-09,4.2,46,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,3.5,646,free,28.93
13,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",998.17,30.0,beauty,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus,884,Violet,medium,7.2,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,2011-01-07,2.8,524,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec,1.6,251,free,20.73
14,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus,"Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",996.13,4.01,electronics,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,214,Goldenrod,large,6.1,duis bibendum felis sed interdum venenatis turpis enim blandit mi in,2010-06-23,3.0,67,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,4.3,772,standard,8.38
15,sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,Nulla nisl.,338.74,9.85,toys,lacus at velit vivamus vel nulla eget eros elementum pellentesque,329,Purple,large,5.2,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,2019-07-02,3.9,117,amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,2.1,507,express,19.19
16,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",301.7,14.81,beauty,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,343,Goldenrod,small,7.6,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,2022-07-19,2.7,275,facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,4.9,222,standard,17.67
17,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,705.21,37.47,beauty,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,495,Red,medium,1.9,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum,2019-06-05,4.6,623,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus,4.6,864,express,40.61
18,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",341.7,48.42,beauty,suscipit nulla elit ac nulla sed vel enim sit amet,859,Khaki,large,5.5,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,2014-05-20,4.9,631,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,4.3,719,express,28.57
19,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",26.72,8.06,electronics,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,312,Orange,extra large,9.9,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,2017-10-29,4.6,654,sapien cursus vestibulum proin eu mi nulla ac enim in tempor,3.5,238,express,35.26
20,ligula suspendisse ornare consequat lectus in est risus auctor sed,In congue. Etiam justo.,721.31,13.7,clothing,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,384,Goldenrod,large,6.3,suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,2016-04-13,1.8,783,lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,4.2,14,free,0.66
21,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",201.79,3.09,clothing,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,578,Mauv,large,3.5,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,2015-12-05,3.9,978,tellus nisi eu orci mauris lacinia sapien quis libero nullam,1.9,813,free,25.6
22,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",879.24,30.23,beauty,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,376,Turquoise,medium,4.3,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,2020-07-11,1.2,406,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,3.1,608,standard,8.28
23,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",133.8,34.03,beauty,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,395,Fuscia,large,6.4,neque aenean auctor gravida sem praesent id massa id nisl,2017-11-10,1.2,471,luctus ultricies eu nibh quisque id justo sit amet sapien,3.2,459,free,44.2
24,sem sed sagittis nam congue risus semper porta volutpat quam pede,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",777.29,16.04,home decor,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,934,Blue,small,6.7,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,2016-07-26,1.1,629,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,2.0,71,free,15.1
25,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",620.91,23.49,clothing,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,418,Crimson,extra large,4.2,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,2010-05-20,3.1,127,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,1.2,501,free,24.9
26,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",194.63,16.08,home decor,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,649,Green,medium,4.4,aliquet massa id lobortis convallis tortor risus dapibus augue vel,2022-09-25,3.1,327,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,3.1,861,free,32.3
27,eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",976.65,47.47,clothing,gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,839,Indigo,small,1.6,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,2014-06-18,4.0,426,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,2.4,617,free,8.8
28,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,Ut tellus. Nulla ut erat id mauris vulputate elementum.,668.28,39.89,beauty,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,103,Yellow,medium,2.6,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,2018-08-15,3.7,948,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,1.1,377,standard,11.47
29,massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",133.22,13.35,beauty,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,253,Maroon,small,3.7,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,2012-10-24,2.8,612,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,3.5,975,standard,1.58
30,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",364.24,25.38,clothing,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,953,Yellow,large,9.5,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,2020-07-01,2.1,104,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna,4.6,736,free,30.35
31,elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",252.64,17.74,beauty,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,577,Violet,small,9.5,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in,2014-07-16,1.5,648,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,4.9,467,express,3.01
32,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",563.76,6.45,beauty,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,637,Crimson,large,6.4,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2016-02-09,4.4,926,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,2.5,270,express,48.5
33,semper porta volutpat quam pede lobortis ligula sit amet eleifend,Donec ut dolor.,808.05,12.34,home decor,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,605,Fuscia,extra large,4.0,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2017-11-03,2.2,674,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc,4.0,208,free,26.29
34,volutpat in congue etiam justo etiam pretium iaculis justo in,Proin eu mi.,137.29,22.22,home decor,non pretium quis lectus suspendisse potenti in eleifend quam a odio,140,Indigo,medium,2.0,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,2019-08-03,4.6,595,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,4.2,624,free,49.21
35,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.",920.89,19.66,beauty,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem,53,Khaki,small,1.4,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,2016-01-28,4.2,638,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,3.6,104,express,40.67
36,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",864.54,45.49,toys,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,175,Indigo,medium,1.0,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,2012-10-24,4.5,905,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,4.5,232,standard,41.82
37,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,Proin risus. Praesent lectus.,849.54,13.8,toys,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,775,Green,medium,3.9,neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,2016-07-13,2.7,313,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,1.7,660,standard,15.77
38,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",477.14,21.18,home decor,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,565,Blue,extra large,1.7,nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,2010-06-14,3.3,713,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,4.4,416,express,4.33
39,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",478.69,18.07,beauty,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,452,Khaki,extra large,9.3,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui,2014-11-11,1.9,379,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,1.9,969,standard,25.32
40,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.",284.27,19.83,electronics,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,368,Mauv,small,9.8,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,2022-07-07,1.9,930,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,4.4,958,free,49.75
41,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",544.05,34.29,clothing,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus,498,Maroon,small,7.2,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,2010-11-12,2.3,657,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1.1,387,standard,14.14
42,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",718.72,40.28,clothing,morbi non lectus aliquam sit amet diam in magna bibendum,700,Orange,large,8.9,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,2012-12-07,3.5,155,nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,4.5,425,standard,0.81
43,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,Nulla nisl. Nunc nisl.,318.85,25.6,home decor,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,113,Crimson,large,2.5,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,2010-03-26,2.6,77,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,4.0,493,express,13.81
